"response_id","course","class_number","student_id","question_number","question_response"
1013,"COM214",5,6406,4,"Often the readings about the content of the class are due multiple days before the content is covered in class. I'd benefit if the textbook was more of a preview of what would be covered in class as often the textbook is very dense."
1014,"COM214",5,6708,4,"Nothing, I think the textbook is a good resource."
1015,"COM214",5,6583,4,"I wish we did not have to do the writeups for each class. It adds to the workload we already have and tends to produce stress as it is due twice a week. The readings are interesting and I love the class, I just find the writeups cause stress and more pressure that does not need to exist in this class."
1016,"COM214",5,6718,4,"I find the readings very interesting and helpful during homework but I get discouraged by the forum posts. I find that 500 words is much longer than can be easily written about our homework assignments and struggle to reach the desired lenght of post despite having read and absorbed the homework content."
1017,"COM214",5,6504,4,"I am a bit overwhelmed by the volume of content for this course- I think mastering HTML, CSS, Javascript, and Ruby in the span of 4 months won't be easy"
1018,"COM214",5,6712,4,"let us pick our groups"
1019,"COM214",5,6288,4,"I was thinking about maybe lowering the writing limit for the SWA. I've been finding it really hard to get to the 500 without feeling like I'm just summarizing everything I just read. It gets a bit frustrating because I feel like I'm not doing good enough on them."
1020,"COM214",5,6707,4,"I think for the programming assignments, if you could go a little more into depth about them during class, that would make me feel more comfortable. Another thing I think would be interesting is like a running list of features that we have learned through the course. The more we go the more we add, and sometimes it is overwhelming just knowing how to do simple things when there are so many things that are thrown at us."
1021,"COM214",5,6598,4,NA
1022,"COM214",5,6147,4,"not right now"
1023,"COM214",5,6575,4,"i really wish that we could choose our group assignment partners for future assignments"
1024,"COM214",5,6709,4,"nothing so far that I have encountered"
1096,"COM214",7,6711,4,"n/a"
1097,"COM214",7,6598,4,"Nope"
1098,"COM214",7,6147,4,"no"
1099,"COM214",7,6703,4,"none"
1100,"COM214",7,6708,4,"No, I'm excited to code more!"
1101,"COM214",7,6583,4,"Just had a particularly bad day yesterday where I was unable to work. Hopefully this is a one off"
1102,"COM214",7,6376,4,"no"
1103,"COM214",7,6575,4,"this is a really hard day for me today but i really love learning having a hard day outside of class glad i can be sitting here"
1104,"COM214",7,6406,4,"Nothing today"
1105,"COM214",7,6716,4,"None."
1106,"COM214",7,6714,4,"3"
1107,"COM214",7,6597,4,"I think it would help if we had more prep in class relating to the PA assignments I always feel a little bit confused or very stressed for them"
1108,"COM214",7,6707,4,"n/a"
1109,"COM214",7,6715,4,"The readings are super interesting, but I struggle to fill 500 words. It's difficult to find the motivation to keep reading knowing that I'll have to embellish some of what I'm writing simply because I can't find the content to fill the word count. The reflections are vital to tracking our understanding, but I think a lower minimum word count would be beneficial."
1110,"COM214",7,6712,4,"less reading"
1111,"COM214",7,6504,4,"No"
1112,"COM214",7,6709,4,"nothing right now"
1180,"COM214",8,4806,4,"lets go"
1181,"COM214",8,6716,4,"None."
1182,"COM214",8,6709,4,"na"
1183,"COM214",8,6703,4,"none"
1184,"COM214",8,6147,4,"no"
1185,"COM214",8,6707,4,"maybe a little more class practice"
1186,"COM214",8,6712,4,"nah"
1187,"COM214",8,6406,4,"nothing today"
1188,"COM214",8,6580,4,"Having a review day"
1189,"COM214",8,6376,4,"No"
1190,"COM214",8,6598,4,"no"
1191,"COM214",8,6288,4,"Currently I just feel a bit low and anxious because I've been sick and it's been hard to do work and catch up while being sick since I get sick really bad. But I've manage to try and stay on top of more pressing things like the PA."
1192,"COM214",8,6575,4,"happy to be in class"
1193,"COM214",8,6583,4,"Got confused and did the wrong reading"
1269,"COM214",9,6707,4,"n/a"
1270,"COM214",9,6709,4,"no"
1271,"COM214",9,6406,4,"Issue more projects for assignments instead of reflections. I find applying what I learn more useful."
1272,"COM214",9,6598,4,NA
1273,"COM214",9,6504,4,"N/A"
1274,"COM214",9,6712,4,"group projects"
1275,"COM214",9,6703,4,"non3"
1276,"COM214",9,6289,4,"N/A"
1277,"COM214",9,6715,4,"pls lower min word count for reflections"
1278,"COM214",9,6708,4,"Maybe explore bootstrap more"
1279,"COM214",9,6592,4,"more sources maybe on html learning"
1280,"COM214",9,6575,4,"hard few days but i am very grateful to be here in class today"
1323,"COM214",10,6716,4,"None."
1324,"COM214",10,6406,4,"nothing today"
1325,"COM214",10,6707,4,"n/a"
1326,"COM214",10,4806,4,"10"
1327,"COM214",10,6504,4,"N/A"
1328,"COM214",10,6598,4,"na"
1341,"COM214",11,6712,4,"3"
1393,"COM214",12,6406,4,"I definitely find the PA assignments useful not just for review but for learning, if smaller similar assignments could be sprinkled throughout the semester that would be great"
1394,"COM214",12,6716,4,"None"
1395,"COM214",12,6575,4,"i am happy to be here today"
1396,"COM214",12,6504,4,"N/A"
1397,"COM214",12,6709,4,"na"
1398,"COM214",12,6598,4,NA
1399,"COM214",12,6289,4,"No"
1400,"COM214",12,6703,4,"none"
1472,"COM214",13,6709,4,"na"
1473,"COM214",13,6707,4,"n/a"
1474,"COM214",13,6575,4,"very lucky to be here"
1475,"COM214",13,6715,4,"no"
1476,"COM214",13,6598,4,NA
1477,"COM214",13,6504,4,"N/A"
1478,"COM214",13,6406,4,"nothing today"
1479,"COM214",13,6583,4,"Had a long weekend, got a lot on my plate with midterms so I am not very prepared for this class."
1480,"COM214",13,6716,4,"None right now."
1481,"COM214",13,6712,4,"n/a"
1548,"COM214",14,6707,4,"Can you go over the thing you did at the end of class last time where you explained how you saved the changes you made in the Ruby code to your file?"
1549,"COM214",14,6716,4,"None"
1550,"COM214",14,6504,4,"N/A"
1551,"COM214",14,6289,4,"no"
1552,"COM214",14,6709,4,"no"
1553,"COM214",14,6575,4,"i am not feeling great today so i will need to rest a little"
1554,"COM214",14,4806,4,"5"
1555,"COM214",14,6714,4,"3"
1556,"COM214",14,6598,4,NA
1557,"COM214",14,6712,4,"less work"
1558,"COM214",14,6583,4,"Midterms have been ruff and I have fallen behind on reading"
1633,"COM214",15,6598,4,NA
1634,"COM214",15,6716,4,"None"
1635,"COM214",15,4806,4,"6"
1636,"COM214",15,6712,4,"3"
1637,"COM214",15,6703,4,"none"
1638,"COM214",15,6406,4,"nothing today"
1639,"COM214",15,6575,4,"I think that we should do more hands on activities during class like writing ruby on rails together"
1640,"COM214",15,6289,4,"no"
1713,"COM214",16,6716,4,"None"
1714,"COM214",16,6703,4,"none"
1715,"COM214",16,6709,4,"na"
1716,"COM214",16,6289,4,"no"
1717,"COM214",16,6504,4,"N/A"
1718,"COM214",16,6707,4,"n/a"
1719,"COM214",16,4806,4,"5"
1720,"COM214",16,6406,4,"nothing today"
1721,"COM214",16,6598,4,"no"
1722,"COM214",16,6575,4,"excited to be here in class"
1723,"COM214",16,6714,4,"I feel ok at where I am at right now"
1784,"COM214",17,6504,4,"N/A"
1785,"COM214",17,6707,4,"n/a"
1786,"COM214",17,6575,4,"i am excited to be here today"
1787,"COM214",17,6598,4,NA
1788,"COM214",17,6716,4,"None"
1855,"COM214",18,6575,4,"very happy to be here"
1856,"COM214",18,6707,4,"n/a"
1857,"COM214",18,6598,4,"I love you professor"
1858,"COM214",18,6504,4,"N/A"
1910,"COM214",19,6707,4,"n/a"
1911,"COM214",19,6598,4,NA
1912,"COM214",19,6504,4,"N/A"
1913,"COM214",19,6714,4,"3"
1974,"COM214",20,6575,4,"glad to be here in class today, hoping that my toy app can work"
1975,"COM214",20,6707,4,"n/a"
1976,"COM214",20,6598,4,"no"
2028,"COM214",21,6714,4,"."
2029,"COM214",21,6707,4,"n/a"
2030,"COM214",21,4806,4,"this is garzain pls save my answers😭😭😭😭"
2031,"COM214",21,6598,4,NA
2086,"COM214",22,6406,4,"I am generally feeling I don't understand a lot of the components of ruby on rails, coming the project time. Furthermore, I don't know what questions to ask if I were to come to office hours"
2087,"COM214",22,6707,4,"n/a"
2088,"COM214",22,6575,4,"it was not possible to install the gems i spent all of yesterday working on it"
2089,"COM214",22,6714,4,"3"
2090,"COM214",22,6504,4,"N/A"
2091,"COM214",22,6598,4,NA
2143,"COM214",24,6707,4,"n/a"
2144,"COM214",24,6716,4,"None"
2145,"COM214",24,6598,4,NA
2146,"COM214",24,6504,4,"N/A"
2207,"COM214",25,6598,4,NA
2208,"COM214",25,6707,4,"n/a"
2209,"COM214",25,4806,4,"no"
2210,"COM214",25,6715,4,"no"
